name,source,variant,dataset,batch_size,device,params_M,flops_G,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,throughput_img_s
DSCFNetPretrained,main,,AID,1,cuda,7.380423,2.061661056,19.853419879218563,1.1543402786177535,18.9957229886204,26.789595023728907,50.36915584738846
pretrained_no_neck,ablation,pretrained_no_neck,AID,1,cuda,3.590488,0.513842728,6.724149533547461,0.11564108490769279,6.619940046221018,7.260394981130958,148.71769210528396
pretrained_baseline,ablation,pretrained_baseline,AID,1,cuda,6.157895,1.452528512,8.482538372045383,0.3694029528247979,8.361691958270967,11.756028980016708,117.88923976996657
pretrained_pdc2k_only,ablation,pretrained_pdc2k_only,AID,1,cuda,6.069063,1.47193536,16.523384334286675,0.6291391033524804,16.23840199317783,20.41324693709612,60.52028929236734
pretrained_acs_only,ablation,pretrained_acs_only,AID,1,cuda,7.321543,2.032784256,11.003252965165302,0.13724479211823207,10.892724036239088,11.521389009431005,90.88221484735963
pretrained_full,ablation,pretrained_full,AID,1,cuda,7.380423,2.061661056,19.42524797981605,0.8749365644047664,18.870353000238538,23.95304897800088,51.479394293398855
